,Date,PX_LAST
0,1997-09-09,934.0
1,1997-09-10,915.25
2,1997-09-11,908.5
3,1997-09-12,924.0
4,1997-09-15,921.75
5,1997-09-16,946.25
6,1997-09-17,945.75
7,1997-09-18,948.0
8,1997-09-19,961.0
9,1997-09-22,966.25
10,1997-09-23,962.0
11,1997-09-24,954.5
12,1997-09-25,946.5
13,1997-09-26,953.25
14,1997-09-29,961.75
15,1997-09-30,954.5
16,1997-10-01,963.5
17,1997-10-02,969.0
18,1997-10-03,975.5
19,1997-10-06,980.25
20,1997-10-07,989.5
21,1997-10-08,982.25
22,1997-10-09,978.0
23,1997-10-10,976.75
24,1997-10-13,976.25
25,1997-10-14,977.5
26,1997-10-15,973.5
27,1997-10-16,959.75
28,1997-10-17,948.75
29,1997-10-20,962.25
30,1997-10-21,979.5
31,1997-10-22,974.25
32,1997-10-23,955.5
33,1997-10-24,944.0
34,1997-10-27,874.0
35,1997-10-28,924.5
36,1997-10-29,924.25
37,1997-10-30,903.0
38,1997-10-31,924.0
39,1997-11-03,945.75
40,1997-11-04,942.0
41,1997-11-05,947.0
42,1997-11-06,942.25
43,1997-11-07,931.25
44,1997-11-10,926.25
45,1997-11-11,926.5
46,1997-11-12,908.25
47,1997-11-13,919.25
48,1997-11-14,932.5
49,1997-11-17,950.0
50,1997-11-18,942.5
51,1997-11-19,947.75
52,1997-11-20,963.0
53,1997-11-21,969.5
54,1997-11-24,949.75
55,1997-11-25,951.75
56,1997-11-26,955.0
57,1997-11-27,955.0
58,1997-11-28,955.0
59,1997-12-01,979.5
60,1997-12-02,975.0
61,1997-12-03,977.5
62,1997-12-04,977.0
63,1997-12-05,986.5
64,1997-12-08,984.5
65,1997-12-09,979.0
66,1997-12-10,970.25
67,1997-12-11,954.5
68,1997-12-12,955.5
69,1997-12-15,963.25
70,1997-12-16,969.5
71,1997-12-17,964.5
72,1997-12-18,954.5
73,1997-12-19,957.5
74,1997-12-22,962.75
75,1997-12-23,945.0
76,1997-12-24,941.75
77,1997-12-26,946.0
78,1997-12-29,965.75
79,1997-12-30,979.25
80,1997-12-31,979.0
81,1998-01-02,984.75
82,1998-01-05,987.0
83,1998-01-06,971.0
84,1998-01-07,974.0
85,1998-01-08,961.25
86,1998-01-09,929.5
87,1998-01-12,945.5
88,1998-01-13,959.5
89,1998-01-14,963.25
90,1998-01-15,955.0
91,1998-01-16,968.5
92,1998-01-19,972.25
93,1998-01-20,985.25
94,1998-01-21,975.5
95,1998-01-22,966.25
96,1998-01-23,964.5
97,1998-01-26,963.5
98,1998-01-27,973.75
99,1998-01-28,982.0
100,1998-01-29,987.0
